T [°R],Density [lbm/ft³],Viscosity [poise],Cp [BTU/lbm-°R],Conductivity [BTU/hr-ft-°F],Surface Tension [lbf/in],dHvap [BTU/lbm]
143.8376753507014,74.68313029095012,0.0027337405464894276,0.40190109279333297,0.0957281193542339,7.52226710455e-05,95.67256035165194
144.18837675350701,74.62703947162473,0.0027170168706344604,0.40194029599298375,0.09556689548796912,7.52226710455e-05,95.60105939483715
144.53907815631263,74.57090471771089,0.0027004582914206196,0.4019800172860971,0.09540563218429148,7.52226710455e-05,95.5293814720771
144.88977955911824,74.5147249881718,0.0026840623299300673,0.40202020175404113,0.09524432799135925,7.52226710455e-05,95.45752095090694
145.24048096192385,74.45849924197775,0.002667826546345671,0.40206079447818377,0.09508298145733073,7.52226710455e-05,95.38547219886176
145.59118236472946,74.40223187299392,0.0026517506691858613,0.4021023700255014,0.09492159738381162,7.52226710455e-05,95.31325661996141
145.94188376753507,74.34593429634684,0.0026358371175651345,0.402146322529734,0.09476018906268681,7.52226710455e-05,95.24093118748752
146.2925851703407,74.28960576069893,0.0026200834939700606,0.40219264271189314,0.09459875615966923,7.52226710455e-05,95.16849293194122
146.6432865731463,74.23324500737354,0.0026044872425926443,0.40224126264293486,0.09443729776392927,7.52226710455e-05,95.09593637125077
146.9939879759519,74.17685077768836,0.002589045849109911,0.402292114393815,0.09427581296463729,7.52226710455e-05,95.02325602334439
147.34468937875752,74.12042181295422,0.002573756839899217,0.4023451300354896,0.09411430085096366,7.52226710455e-05,94.95044640615032
147.69539078156313,74.06395685447364,0.0025586177812708067,0.40240024163891447,0.09395276051207874,7.52226710455e-05,94.87750203759674
148.04609218436875,74.00745464353976,0.002543626278717412,0.40245738127504554,0.09379119103715292,7.52226710455e-05,94.80441743561195
148.39679358717436,73.95091392143492,0.0025287799761803094,0.40251648101483883,0.09362959151535656,7.52226710455e-05,94.73118711812413
148.74749498997997,73.89433342942951,0.0025140765553316093,0.40257747292925,0.09346796103586004,7.52226710455e-05,94.6578056030615
149.09819639278558,73.83771190878073,0.0024995137348723024,0.40264028908923527,0.09330629868783374,7.52226710455e-05,94.5842674083523
149.4488977955912,73.7810481007314,0.0024850892698457436,0.4027048615657503,0.09314460356044801,7.52226710455e-05,94.51056705192477
149.7995991983968,73.72434074650869,0.002470800950966194,0.40277112242975116,0.09298287474287326,7.52226710455e-05,94.43669905170711
150.15030060120242,73.66758858732312,0.0024566466039621032,0.4028390037521937,0.09282111132427982,7.52226710455e-05,94.36265792562759
150.501002004008,73.6107903643672,0.002442624088933797,0.4029084376040339,0.0926593123938381,7.52226710455e-05,94.28843819161438
150.8517034068136,73.55394481881434,0.0024287312997251648,0.4029793560562275,0.09249747704071842,7.52226710455e-05,94.21403436759574
151.20240480961922,73.4970506918179,0.002414966163309151,0.4030516911797306,0.09233560435409117,7.52226710455e-05,94.13944097149988
151.55310621242484,73.44010672450976,0.002401326639186637,0.40312537504549906,0.09217369342312678,7.52226710455e-05,94.06465252125507
151.90380761523045,73.38311165799944,0.002387810718798462,0.4032003397244887,0.09201174333699555,7.52226710455e-05,93.98966353478947
152.25450901803606,73.32606423337297,0.00237441642495023,0.40327651728765557,0.09184975318486788,7.52226710455e-05,93.91446853003136
152.60521042084167,73.26896319169184,0.0023611418112496983,0.4033538398059555,0.09168772205591416,7.52226710455e-05,93.83906202490893
152.95591182364728,73.21180727399181,0.0023479849615563966,0.4034322393503444,0.09152564903930473,7.52226710455e-05,93.76343853735045
153.3066132264529,73.1545954963895,0.0023349439894431835,0.4035116479917782,0.09136353322421,7.52226710455e-05,93.6875925852841
153.6573146292585,73.09732730259353,0.0023220170376695654,0.40359199780121285,0.09120137369980026,7.52226710455e-05,93.61151868663814
154.00801603206412,73.04000161311174,0.002309202277666415,0.4036732208496043,0.09103916955524596,7.52226710455e-05,93.53521135934078
154.35871743486973,72.98261732580812,0.0022964979090318955,0.4037552492079083,0.09087691987971748,7.52226710455e-05,93.45866512132024
154.70941883767534,72.92517333802489,0.002283902159038286,0.4038380149470809,0.09071462376238514,7.52226710455e-05,93.38187449050476
155.06012024048096,72.86767363413111,0.002271415576070542,0.4039219341899307,0.09055227358984932,7.52226710455e-05,93.30485211602694
155.41082164328657,72.81013213131118,0.002259043143484768,0.4040083788572736,0.09038985097566778,7.52226710455e-05,93.22764670535864
155.76152304609218,72.75254859343842,0.0022467834170910137,0.40409738564651365,0.09022735863050785,7.52226710455e-05,93.15025722449234
156.1122244488978,72.69492178677802,0.0022346345303688535,0.40418889673929337,0.09006480065450041,7.52226710455e-05,93.07267910755212
156.4629258517034,72.63725047706424,0.002222594645847584,0.40428285431725564,0.0899021811477762,7.52226710455e-05,92.99490778866215
156.81362725450902,72.57953342949814,0.002210661954581042,0.40437920056204313,0.08973950421046613,7.52226710455e-05,92.91693870194648
157.16432865731463,72.52176940874483,0.002198834675634154,0.4044778776552985,0.08957677394270094,7.52226710455e-05,92.83876728152926
157.51503006012024,72.46395717893134,0.0021871110555809615,0.40457882777866455,0.08941399444461148,7.52226710455e-05,92.7603889615346
157.86573146292585,72.40609550364387,0.002175489368013828,0.40468199311378394,0.0892511698163286,7.52226710455e-05,92.68179917608661
158.21643286573146,72.34818314592522,0.002163967913063634,0.40478731584229943,0.08908830415798305,7.52226710455e-05,92.60299335930942
158.56713426853707,72.29021886827238,0.002152545016930648,0.4048947381458537,0.08892540156970573,7.52226710455e-05,92.5239669453271
158.9178356713427,72.23220143263366,0.002141219031425873,0.4050042022060895,0.0887624661516274,7.52226710455e-05,92.4447153682638
159.2685370741483,72.17412960040616,0.002129988333522618,0.40511565020464946,0.08859950200387892,7.52226710455e-05,92.36523406224366
159.6192384769539,72.11600213243295,0.0021188513249180826,0.4052290243231765,0.0884365132265911,7.52226710455e-05,92.28551846139072
159.96993987975952,72.0578177890004,0.0021078064316047023,0.4053442667433131,0.08827350391989473,7.52226710455e-05,92.20556399982915
160.32064128256513,71.9995753298352,0.0020968521034510604,0.40546131964670207,0.08811047818392069,7.52226710455e-05,92.12536611168305
160.67134268537075,71.94127351410172,0.002085986813792134,0.40558012521498615,0.08794744011879974,7.52226710455e-05,92.04492023107652
161.02204408817636,71.88291110039893,0.002075209059028693,0.40570062562980813,0.08778439382466273,7.52226710455e-05,91.9642217921337
161.37274549098197,71.82448684675767,0.0020645173582356084,0.40582276307281057,0.08762134340164046,7.52226710455e-05,91.8832662289787
161.72344689378758,71.7659995106374,0.002053910252778933,0.4059464797256363,0.08745829294986379,7.52226710455e-05,91.80204897573563
162.0741482965932,71.70744784892354,0.002043386305941476,0.40607171776992795,0.08729524656946352,7.52226710455e-05,91.72056546652858
162.4248496993988,71.64883061792408,0.002032944102556759,0.40619841938732826,0.08713220836057047,7.52226710455e-05,91.6388111354817
162.77555110220442,71.59014657336662,0.0020225822486511498,0.40632652675948006,0.08696918242331543,7.52226710455e-05,91.55678141671906
163.12625250501003,71.53139447039536,0.0020122993710939402,0.4064559820680259,0.08680617285782927,7.52226710455e-05,91.47447174436483
163.47695390781564,71.4725730635677,0.0020020941172552843,0.4065867274946086,0.08664318376424278,7.52226710455e-05,91.39187755254308
163.82765531062125,71.41368110685114,0.0019919651546717416,0.40671870522087084,0.0864802192426868,7.52226710455e-05,91.30899427537796
164.17835671342687,71.35471735361998,0.0019819111707193022,0.4068518574284554,0.08631728339329212,7.52226710455e-05,91.22581734699354
164.52905811623248,71.2956849649933,0.0019719327851377417,0.4069864545979568,0.08615437944107376,7.52226710455e-05,91.14235175398811
164.8797595190381,71.23659947972165,0.0019620359686126,0.40712369960325817,0.08599150469448898,7.52226710455e-05,91.05862988837613
165.2304609218437,71.17746116249675,0.0019522200362896312,0.40726367085985843,0.08582865523821087,7.52226710455e-05,90.97465176310143
165.5811623246493,71.11826862360103,0.0019424836044442824,0.4074063241999066,0.08566582729536758,7.52226710455e-05,90.89041383944479
165.93186372745492,71.05902047271343,0.0019328253099258406,0.4075516154555512,0.08550301708908728,7.52226710455e-05,90.80591257868706
166.28256513026054,70.99971531890598,0.0019232438098086358,0.40769950045894093,0.08534022084249811,7.52226710455e-05,90.72114444210905
